atomic_num	symbol	column	row	simple_configuration	configuration
1	H	1	1	1s1	[[1, 0, 1]]
2	He	18	1	1s2	[[1, 0, 2]]
3	Li	1	2	[He] 2s1	[[1, 0, 2], [2, 0, 1]]
4	Be	2	2	[He] 2s2	[[1, 0, 2], [2, 0, 2]]
5	B	13	2	[Be] 2p1	[[1, 0, 2], [2, 0, 2], [2, 1, 1]]
6	C	14	2	[Be] 2p2	[[1, 0, 2], [2, 0, 2], [2, 1, 2]]
7	N	15	2	[Be] 2p3	[[1, 0, 2], [2, 0, 2], [2, 1, 3]]
8	O	16	2	[Be] 2p4	[[1, 0, 2], [2, 0, 2], [2, 1, 4]]
9	F	17	2	[Be] 2p5	[[1, 0, 2], [2, 0, 2], [2, 1, 5]]
10	Ne	18	2	[Be] 2p6	[[1, 0, 2], [2, 0, 2], [2, 1, 6]]
11	Na	1	3	[Ne] 3s1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 1]]
12	Mg	2	3	[Ne] 3s2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2]]
13	Al	13	3	[Mg] 3p1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 1]]
14	Si	14	3	[Mg] 3p2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 2]]
15	P	15	3	[Mg] 3p3	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 3]]
16	S	16	3	[Mg] 3p4	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 4]]
17	Cl	17	3	[Mg] 3p5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 5]]
18	Ar	18	3	[Mg] 3p6	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6]]
19	K	1	4	[Ar] 4s1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 1]]
20	Ca	2	4	[Ar] 4s2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2]]
21	Sc	3	4	[Ca] 3d1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 1]]
22	Ti	4	4	[Ca] 3d2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 2]]
23	V	5	4	[Ca] 3d3	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 3]]
24	Cr	6	4	[Ar] 4s1 3d5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 1], [3, 2, 5]]
25	Mn	7	4	[Ca] 3d5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 5]]
26	Fe	8	4	[Ca] 3d6	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 6]]
27	Co	9	4	[Ca] 3d7	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 7]]
28	Ni	10	4	[Ca] 3d8	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 8]]
29	Cu	11	4	[Ar] 4s1 3d10	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 1], [3, 2, 10]]
30	Zn	12	4	[Ca] 3d10	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10]]
31	Ga	13	4	[Zn] 4p1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 1]]
32	Ge	14	4	[Zn] 4p2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 2]]
33	As	15	4	[Zn] 4p3	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 3]]
34	Se	16	4	[Zn] 4p4	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 4]]
35	Br	17	4	[Zn] 4p5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 5]]
36	Kr	18	4	[Zn] 4p6	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6]]
37	Rb	1	5	[Kr] 5s1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1]]
38	Sr	2	5	[Kr] 5s2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2]]
39	Y	3	5	[Sr] 4d1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 1]]
40	Zr	4	5	[Sr] 4d2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 2]]
41	Nb	5	5	[Kr] 5s1 4d4	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1], [4, 2, 4]]
42	Mo	6	5	[Kr] 5s1 4d5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1], [4, 2, 5]]
43	Tc	7	5	[Sr] 4d5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 5]]
44	Ru	8	5	[Kr] 5s1 4d7	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1], [4, 2, 7]]
45	Rh	9	5	[Kr] 5s1 4d8	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1], [4, 2, 8]]
46	Pd	10	5	[Kr] 5s0 4d10	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 0], [4, 2, 10]]
47	Ag	11	5	[Kr] 5s1 4d10	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 1], [4, 2, 10]]
48	Cd	12	5	[Sr] 4d10	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10]]
49	In	13	5	[Cd] 5p1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 1]]
50	Sn	14	5	[Cd] 5p2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 2]]
51	Sb	15	5	[Cd] 5p3	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 3]]
52	Te	16	5	[Cd] 5p4	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 4]]
53	I	17	5	[Cd] 5p5	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 5]]
54	Xe	18	5	[Cd] 5p6	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 6]]
55	Cs	1	6	[Xe] 6s1	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 6], [6, 0, 1]]
56	Ba	2	6	[Xe] 6s2	[[1, 0, 2], [2, 0, 2], [2, 1, 6], [3, 0, 2], [3, 1, 6], [4, 0, 2], [3, 2, 10], [4, 1, 6], [5, 0, 2], [4, 2, 10], [5, 1, 6], [6, 0, 2]]
